size,procs,time_us,gflops,speedup,efficiency
1000,1,695.0,2.8777,1.0,100.0
1000,2,384.0,5.20833,1.8098958333333333,90.49479166666666
1000,4,141.0,14.1844,4.929078014184397,123.22695035460993
2000,1,2367.0,3.37981,1.0,100.0
2000,2,1093.0,7.3193,2.1655992680695335,108.27996340347667
2000,4,737.0,10.8548,3.2116689280868385,80.29172320217096
4000,1,8887.0,3.60077,1.0,100.0
4000,2,5192.0,6.16333,1.7116718027734976,85.58359013867488
4000,4,3308.0,9.67352,2.6865175332527205,67.16293833131802
8000,1,36651.0,3.4924,1.0,100.0
8000,2,23226.0,5.51107,1.5780160165331956,78.90080082665978
8000,4,11628.0,11.0079,3.1519607843137254,78.79901960784314
